QueryId,DocumentId
251,clueweb12-1414wb-69-21961
251,clueweb12-0605wb-45-20110
251,clueweb12-0101wb-00-27576
251,clueweb12-1801wb-75-03214
251,clueweb12-1704wb-55-08156
251,clueweb12-0310wb-18-15930
251,clueweb12-0311wb-57-05410
251,clueweb12-0300wb-50-03853
251,clueweb12-0703wb-81-19022
251,clueweb12-0110wb-33-32233
251,clueweb12-0211wb-73-14210
251,clueweb12-0710wb-68-06353
251,clueweb12-1912wb-65-25306
251,clueweb12-0303wb-73-15207
251,clueweb12-0008wb-68-25416
251,clueweb12-0310wb-58-26418
251,clueweb12-0005wb-51-29086
251,clueweb12-1000tw-95-13741
251,clueweb12-0302wb-27-00643
251,clueweb12-0002wb-32-28232
252,clueweb12-0709wb-23-21516
252,clueweb12-0602wb-87-12029
252,clueweb12-1206wb-40-25914
252,clueweb12-0210wb-79-16021
252,clueweb12-0201wb-50-22141
252,clueweb12-1103wb-98-17024
252,clueweb12-0714wb-66-10010
252,clueweb12-0709wb-53-21040
252,clueweb12-0711wb-29-11759
252,clueweb12-0715wb-42-05124
252,clueweb12-0918wb-52-18914
252,clueweb12-0311wb-12-07924
252,clueweb12-0715wb-83-20425
252,clueweb12-0603wb-73-02664
252,clueweb12-0603wb-64-21780
252,clueweb12-0818wb-81-06717
252,clueweb12-0911wb-12-05178
252,clueweb12-0006wb-67-21389
252,clueweb12-0604wb-30-32864
252,clueweb12-0301wb-10-14155
253,clueweb12-1306wb-55-19889
253,clueweb12-0808wb-58-05291
253,clueweb12-1301wb-99-25227
253,clueweb12-1009wb-92-11714
253,clueweb12-1113wb-05-18208
253,clueweb12-1406wb-96-06850
253,clueweb12-0110wb-52-30735
253,clueweb12-1702wb-95-23938
253,clueweb12-1118wb-68-09602
253,clueweb12-1600wb-32-12121
253,clueweb12-0304wb-14-29018
253,clueweb12-0504wb-38-29046
253,clueweb12-0112wb-28-04543
253,clueweb12-0713wb-40-03785
253,clueweb12-0807wb-22-25760
253,clueweb12-1212wb-24-07661
253,clueweb12-0102wb-42-16190
253,clueweb12-0209wb-39-15082
253,clueweb12-0305wb-16-05661
253,clueweb12-0203wb-21-16455
254,clueweb12-0806wb-16-21192
254,clueweb12-0401wb-54-12095
254,clueweb12-0911wb-76-02509
254,clueweb12-0402wb-24-31930
254,clueweb12-0402wb-12-10750
254,clueweb12-0007wb-40-01105
254,clueweb12-0008wb-78-18652
254,clueweb12-0006wb-77-02286
254,clueweb12-0302wb-13-26849
254,clueweb12-0100wb-35-12080
254,clueweb12-0405wb-45-08585
254,clueweb12-1705wb-84-23375
254,clueweb12-1713wb-98-18024
254,clueweb12-0404wb-37-13169
254,clueweb12-0211wb-89-20040
254,clueweb12-0201wb-07-03390
254,clueweb12-0911wb-62-24121
254,clueweb12-0918wb-43-20583
254,clueweb12-0600wb-38-09891
254,clueweb12-0105wb-68-24880
255,clueweb12-1005wb-29-29478
255,clueweb12-0919wb-65-12005
255,clueweb12-0301wb-71-04060
255,clueweb12-1204wb-62-11747
255,clueweb12-0906wb-67-25749
255,clueweb12-0918wb-07-02509
255,clueweb12-1004wb-83-29414
255,clueweb12-1200wb-49-28633
255,clueweb12-1200wb-43-26294
255,clueweb12-1811wb-97-10106
255,clueweb12-0919wb-50-01682
255,clueweb12-1811wb-88-05110
255,clueweb12-0918wb-07-02481
255,clueweb12-1811wb-48-19682
255,clueweb12-1811wb-62-03581
255,clueweb12-1811wb-83-00241
255,clueweb12-1811wb-53-06263
255,clueweb12-1811wb-26-03417
255,clueweb12-1810wb-50-15064
255,clueweb12-0917wb-83-22820
256,clueweb12-0300wb-35-08074
256,clueweb12-0301wb-07-01543
256,clueweb12-0307wb-73-05229
256,clueweb12-0812wb-17-16048
256,clueweb12-0811wb-18-09132
256,clueweb12-0809wb-69-12106
256,clueweb12-0809wb-23-15506
256,clueweb12-0812wb-76-14857
256,clueweb12-0812wb-76-14843
256,clueweb12-0813wb-05-09037
256,clueweb12-0812wb-37-10228
256,clueweb12-0812wb-37-10242
256,clueweb12-0810wb-87-08881
256,clueweb12-0810wb-71-22055
256,clueweb12-0808wb-01-01437
256,clueweb12-0811wb-91-22439
256,clueweb12-0811wb-62-20816
256,clueweb12-0811wb-62-20802
256,clueweb12-0810wb-71-22069
256,clueweb12-0809wb-43-18755
257,clueweb12-1312wb-57-20255
257,clueweb12-0409wb-57-33414
257,clueweb12-1002wb-62-25101
257,clueweb12-1005wb-31-26221
257,clueweb12-1702wb-39-17225
257,clueweb12-0311wb-00-26501
257,clueweb12-1305wb-37-04497
257,clueweb12-1013wb-09-04784
257,clueweb12-0106wb-81-19015
257,clueweb12-0411wb-45-01705
257,clueweb12-1407wb-12-00705
257,clueweb12-0100wb-82-00700
257,clueweb12-0005wb-64-26572
257,clueweb12-0100wb-87-17866
257,clueweb12-0306wb-36-26442
257,clueweb12-1713wb-70-04480
257,clueweb12-1405wb-00-21528
257,clueweb12-0106wb-09-26880
257,clueweb12-1810wb-90-03614
257,clueweb12-0512wb-35-19416
258,clueweb12-0203wb-82-15786
258,clueweb12-0305wb-14-06107
258,clueweb12-0300wb-99-12066
258,clueweb12-0918wb-20-04302
258,clueweb12-0304wb-98-16177
258,clueweb12-0305wb-40-25365
258,clueweb12-0305wb-21-09481
258,clueweb12-0304wb-93-11900
258,clueweb12-0305wb-31-00826
258,clueweb12-0005wb-79-05629
258,clueweb12-1708wb-46-12924
258,clueweb12-1707wb-92-21369
258,clueweb12-0300wb-82-00419
258,clueweb12-1516wb-36-01300
258,clueweb12-1111wb-96-01192
258,clueweb12-1114wb-78-06155
258,clueweb12-0004wb-75-20067
258,clueweb12-1009wb-17-14784
258,clueweb12-1910wb-90-28944
258,clueweb12-0811wb-84-30830
259,clueweb12-1913wb-77-16493
259,clueweb12-0012wb-70-18647
259,clueweb12-1003wb-44-17366
259,clueweb12-1313wb-39-03761
259,clueweb12-0101wb-09-16798
259,clueweb12-0301tw-44-12669
259,clueweb12-1905wb-70-17703
259,clueweb12-1201wb-29-25435
259,clueweb12-0808wb-56-26098
259,clueweb12-1808wb-79-06359
259,clueweb12-1508wb-48-18702
259,clueweb12-0104wb-16-27750
259,clueweb12-1101tw-20-20664
259,clueweb12-1508wb-48-06496
259,clueweb12-0410wb-24-04799
259,clueweb12-1200tw-33-11965
259,clueweb12-0211wb-53-19459
259,clueweb12-0013wb-36-30194
259,clueweb12-0210wb-13-21147
259,clueweb12-1316wb-19-07590
260,clueweb12-0714wb-59-06157
260,clueweb12-0408wb-04-14255
260,clueweb12-0308wb-69-14293
260,clueweb12-0110wb-59-16671
260,clueweb12-0305wb-14-00223
260,clueweb12-0110wb-35-13410
260,clueweb12-0009wb-73-29450
260,clueweb12-0009wb-31-32808
260,clueweb12-1111wb-36-13470
260,clueweb12-0100wb-48-25749
260,clueweb12-0007wb-53-29297
260,clueweb12-0107wb-42-07977
260,clueweb12-1413wb-18-04691
260,clueweb12-1304wb-00-07607
260,clueweb12-1912wb-42-26088
260,clueweb12-0301wb-80-31319
260,clueweb12-0303wb-58-23035
260,clueweb12-0909wb-36-01398
260,clueweb12-1400wb-74-13240
260,clueweb12-1012wb-08-04785
261,clueweb12-0503wb-33-16150
261,clueweb12-0105wb-95-00306
261,clueweb12-0607wb-84-20099
261,clueweb12-0700tw-27-14383
261,clueweb12-0905wb-16-25383
261,clueweb12-0818wb-39-23264
261,clueweb12-0311wb-27-12919
261,clueweb12-1911wb-28-16556
261,clueweb12-0110wb-64-28806
261,clueweb12-0304wb-78-08292
261,clueweb12-0713wb-55-02688
261,clueweb12-1800tw-04-14696
261,clueweb12-0111wb-93-27505
261,clueweb12-1902wb-13-09860
261,clueweb12-0203wb-43-05844
261,clueweb12-1501tw-07-13473
261,clueweb12-1115wb-81-01188
261,clueweb12-1414wb-83-09299
261,clueweb12-0202wb-91-11471
261,clueweb12-1803wb-05-27762
262,clueweb12-1012wb-09-13984
262,clueweb12-0111wb-35-21963
262,clueweb12-1501wb-22-07057
262,clueweb12-1507wb-93-16830
262,clueweb12-1200tw-54-16521
262,clueweb12-1700tw-48-17964
262,clueweb12-1201tw-15-12627
262,clueweb12-1100tw-41-19465
262,clueweb12-1500tw-34-15797
262,clueweb12-1701wb-68-28402
262,clueweb12-0503wb-63-14453
262,clueweb12-0100tw-02-19507
262,clueweb12-0108wb-74-08508
262,clueweb12-0302wb-56-06703
262,clueweb12-0302wb-83-31324
262,clueweb12-0700wb-36-18317
262,clueweb12-1308wb-76-13513
262,clueweb12-1717wb-31-23001
262,clueweb12-0311wb-00-33497
262,clueweb12-1603wb-85-34375
263,clueweb12-0008wb-13-06917
263,clueweb12-0304wb-71-01443
263,clueweb12-0004wb-51-16947
263,clueweb12-0708wb-73-10107
263,clueweb12-0702wb-84-08266
263,clueweb12-0310wb-35-20977
263,clueweb12-0003wb-11-12156
263,clueweb12-1000tw-44-08479
263,clueweb12-0401wb-51-08847
263,clueweb12-0103wb-55-12732
263,clueweb12-1605wb-34-06858
263,clueweb12-1603wb-72-16611
263,clueweb12-0010wb-19-09395
263,clueweb12-0308wb-56-20103
263,clueweb12-1601wb-44-14645
263,clueweb12-0311wb-71-16928
263,clueweb12-1014wb-24-31094
263,clueweb12-0106wb-88-02788
263,clueweb12-1606wb-32-04834
263,clueweb12-0800tw-02-12962
264,clueweb12-0814wb-23-19250
264,clueweb12-0006wb-47-10675
264,clueweb12-0006wb-27-06936
264,clueweb12-0510wb-71-14441
264,clueweb12-0108wb-99-00297
264,clueweb12-0310wb-73-27516
264,clueweb12-1403wb-53-15358
264,clueweb12-1905wb-34-14277
264,clueweb12-1113wb-80-12950
264,clueweb12-0711wb-77-15581
264,clueweb12-1814wb-13-09348
264,clueweb12-1813wb-19-11359
264,clueweb12-0311wb-46-15191
264,clueweb12-1412wb-83-28526
264,clueweb12-1813wb-00-15807
264,clueweb12-1813wb-45-05527
264,clueweb12-0110wb-21-32731
264,clueweb12-0301wb-84-02864
264,clueweb12-1702wb-31-01714
264,clueweb12-0007wb-11-16466
265,clueweb12-0205wb-90-26069
265,clueweb12-0301wb-84-27205
265,clueweb12-1206wb-21-08568
265,clueweb12-0102wb-48-21617
265,clueweb12-0917wb-69-15195
265,clueweb12-1409wb-01-11114
265,clueweb12-0003wb-87-19172
265,clueweb12-0303wb-90-18284
265,clueweb12-0712wb-05-09948
265,clueweb12-0209wb-07-23614
265,clueweb12-1416wb-46-32739
265,clueweb12-0708wb-04-07911
265,clueweb12-0709wb-46-00097
265,clueweb12-1805wb-27-02167
265,clueweb12-0002wb-04-19686
265,clueweb12-0004wb-99-16669
265,clueweb12-0001wb-76-07209
265,clueweb12-0005wb-50-04521
265,clueweb12-1100tw-64-02003
265,clueweb12-0602wb-52-09229
266,clueweb12-0104wb-89-05896
266,clueweb12-1813wb-62-11211
266,clueweb12-1117wb-65-08452
266,clueweb12-0807wb-08-05804
266,clueweb12-1011wb-43-08711
266,clueweb12-1616wb-71-28200
266,clueweb12-1708wb-84-25325
266,clueweb12-0502wb-68-29430
266,clueweb12-0003wb-56-28161
266,clueweb12-0800tw-55-01016
266,clueweb12-1312wb-33-22255
266,clueweb12-0816wb-24-24885
266,clueweb12-0409wb-27-20274
266,clueweb12-1602wb-82-05733
266,clueweb12-1609wb-80-08056
266,clueweb12-0300tw-55-01239
266,clueweb12-1000tw-35-10840
266,clueweb12-0301wb-61-06166
266,clueweb12-0505wb-27-05527
266,clueweb12-1004wb-00-10049
267,clueweb12-1604wb-44-17923
267,clueweb12-0105wb-02-09476
267,clueweb12-1016wb-49-05224
267,clueweb12-1812wb-53-13643
267,clueweb12-1009wb-06-28782
267,clueweb12-0102wb-20-23672
267,clueweb12-1800wb-68-26468
267,clueweb12-1901wb-90-30019
267,clueweb12-1112wb-79-11715
267,clueweb12-1413wb-26-25273
267,clueweb12-1806wb-16-00408
267,clueweb12-1906wb-91-02587
267,clueweb12-0307wb-59-03431
267,clueweb12-1018wb-30-10365
267,clueweb12-0500tw-06-10109
267,clueweb12-1217wb-79-23205
267,clueweb12-0307wb-38-11596
267,clueweb12-1501wb-73-02218
267,clueweb12-0816wb-25-19053
267,clueweb12-1811wb-05-03895
268,clueweb12-1806wb-14-09041
268,clueweb12-0013wb-75-07268
268,clueweb12-1200tw-46-12216
268,clueweb12-1617wb-30-16053
268,clueweb12-0105wb-68-12269
268,clueweb12-0911wb-37-28529
268,clueweb12-1502wb-16-32063
268,clueweb12-0203wb-45-31393
268,clueweb12-0911wb-15-27112
268,clueweb12-1008wb-99-16717
268,clueweb12-0611wb-63-21696
268,clueweb12-1100tw-89-21987
268,clueweb12-1011wb-43-31683
268,clueweb12-1717wb-44-14436
268,clueweb12-0404wb-81-08017
268,clueweb12-1108wb-60-13363
268,clueweb12-1415wb-20-21558
268,clueweb12-1200tw-16-18841
268,clueweb12-1115wb-20-04288
268,clueweb12-1501wb-77-08276
269,clueweb12-0300wb-63-18324
269,clueweb12-0013wb-74-12183
269,clueweb12-1216wb-29-25995
269,clueweb12-1215wb-97-10538
269,clueweb12-1215wb-86-31269
269,clueweb12-1215wb-92-21534
269,clueweb12-0208wb-24-06696
269,clueweb12-1218wb-03-00316
269,clueweb12-0304wb-04-05659
269,clueweb12-0303wb-47-15934
269,clueweb12-0007wb-32-06602
269,clueweb12-0303wb-94-08788
269,clueweb12-1509wb-37-23736
269,clueweb12-0010wb-73-00055
269,clueweb12-0404wb-05-16670
